Seg_ID,UP_MH,DS_MH,"Dia., Inch","Length, Ft","MWL, %","DS, % depth",Defect Bucket
161,219,218,42,592,50,0,2
162,218,217,42,610,50,0,2
163,217,216,48,599,50,0,2
164,216,215,48,1289,50,0,2
165,215,214,48,857,50,0,2
166,214,213,48,979,50,0,2
167,213,212,54,1272,40,0,3
168,211,210,54,702,25,0,2
169,210,209,54,1349,25,0,2
170,209,208.2,66,144,25,0.1,4
171,208.2,208,66,2708,30,0,2
172,208,207,54,720,25,0,2
173,207,206,54,1182,50,0,2
174,206,205,54,1214,45,0,2
175,205,204,54,788,45,0,2
176,204,203,54,1043,40,0,2
177,203,202,54,939,40,0,2
178,202,201,54,878,40,0,2
179,201,200,54,1443,40,0,2
180,208,208,66,2659,20,0,4
181,200,29,54,105,20,0,2
182,325,324,36,604,50,0,2
183,324,323,36,602,50,0,2
184,323,322,36,504,50,0,2
185,322,321,36,542,50,0,2
186,321,320,36,550,50,0,3
187,320,319,36,488,50,0,2
188,319,318,36,508,50,0,2
189,318,317,36,456,50,0,2
190,317,316,36,473,50,0,2
191,316,315,36,596,50,0,2
192,315,314,36,528,40,0,2
193,314,313,36,443,40,0,2
194,313,312,42,632,25,0,2
195,312,311,42,515,25,0,2
196,311,310,42,630,25,0,2
197,310,309,42,718,25,0,2
198,309,308,42,694,30,0,2
199,308,307,42,601,25,0,2
200,307,306,42,593,25,0,2
201,306,305,42,700,25,0,2
202,305,304,42,676,30,0,2
203,304,303,42,698,30,0,2
204,303,302,42,520,30,0,2
205,302,301,48,762,30,0,2
206,301,300,48,1012,30,0,2
207,300,44,42,572,30,0,2
208,411,410,60,27,30,0,2
209,410,409,60,1960,20,0.04,2
210,409,408,60,706,20,0.02,2
211,408,400,60,1666,20,0,2
212,407,406.1,36,240,50,0,1
213,406,405,36,498,50,0,1
214,405,404,36,500,50,0.02,2
215,401,400,39,634,40,0,1
216,404,403,54,897,25,0.04,2
217,400,31,54,3370,25,0,2
218,403,402,39,966,40,0,1
219,402,401,39,1010,40,0,1
